ID,Category,Title,Response,Representative Questions
1997,Disambiguations,Order Help,"<p>Please choose an order help topic:​</p><NEWLINE><NEWLINE><p><a _cke_saved_href=""?requestType=NormalRequest&id=1933&source=5&question=Order Pick-up Status"" href=""?requestType=NormalRequest&id=1933&source=5&question=Order Pick-up Status"">Order Pick-up Status</a><br /><NEWLINE><a _cke_saved_href=""?requestType=NormalRequest&id=1986&source=5&question=Delivery Tracking"" href=""?requestType=NormalRequest&id=1986&source=5&question=Delivery Tracking"">Delivery Tracking​</a><br /><NEWLINE><a _cke_saved_href=""?requestType=NormalRequest&id=1942&source=5&question=Missing or damaged items in order"" href=""?requestType=NormalRequest&id=1942&source=5&question=Missing or damaged items in order"">Missing or Damaged Item​ in Order</a><br /><NEWLINE><a _cke_saved_href=""?requestType=NormalRequest&id=1947&source=5&question=How to place an order on BJs.com"" href=""?requestType=NormalRequest&id=1947&source=5&question=How to place an order on BJs.com"">How to place an Order​ on BJs.com</a><br /><NEWLINE><a _cke_saved_href=""?requestType=NormalRequest&id=1962&source=5&question=How to add items to my online shopping cart"" href=""?requestType=NormalRequest&id=1962&source=5&question=How to add items to my online shopping cart"">Adding items to my Online Shopping Cart</a><br /><NEWLINE><a>Placing a Same Day Delivery Order</a></p>",order help<NEWLINE>help with an order<NEWLINE>order issue<NEWLINE>order issues<NEWLINE>help with order<NEWLINE>issue with an order<NEWLINE>I need help with an order<NEWLINE>order<NEWLINE>I have a problem with a oder<NEWLINE>
1996,Social Intents,Rephrase,"<p>Sorry, I'm still learning. Could you be more specific?</p>",both<NEWLINE>neither<NEWLINE>none<NEWLINE>no<NEWLINE>yes<NEWLINE>ok<NEWLINE>okay<NEWLINE>other<NEWLINE>others<NEWLINE>nope<NEWLINE>issue<NEWLINE>issues<NEWLINE>h <NEWLINE>hye<NEWLINE>
1995,Disambiguations,Trouble Logging In,"<p>Please choose an option below:</p><NEWLINE><NEWLINE><p><a _cke_saved_href=""?requestType=NormalRequest&id=1928&source=5&question=Reset my password"" href=""?requestType=NormalRequest&id=1928&source=5&question=Reset my password"">Reset Password</a><br /><NEWLINE><a _cke_saved_href=""?requestType=NormalRequest&id=1993&source=5&question=Forgotten Email"" href=""?requestType=NormalRequest&id=1993&source=5&question=Forgotten Email"">Forgotten Email</a></p>",can't log in<NEWLINE>cant log in<NEWLINE>login help<NEWLINE>trouble logging in<NEWLINE>cnt log in<NEWLINE>Can't access my account<NEWLINE>I'm having issues logging into my account<NEWLINE>I can't sign in<NEWLINE>I can not login<NEWLINE>Having problems signing in<NEWLINE>
1994,Optical,BJ's Optical Centre,"<p>To find a BJ's Optical location near you, first search for your ZIP code on our <a href=""https://www.bjs.com/clubLocator"" target=""_blank"">Club Locator page</a> and click ""Find Store"". Then click on ""Refine by Services"" and check the Optical box to see which nearby clubs have optical departments. </p>",need glasses<NEWLINE>optics<NEWLINE>optical centre ​<NEWLINE>optical center<NEWLINE>do you sell glasses?<NEWLINE>eye appointment<NEWLINE>optical appointment<NEWLINE>optometrist<NEWLINE>
1993,Assistance,Forgotten Email,"<p>If you've forgotten your BJs.com login email, you can recover it at <a href=""https://www.bjs.com/membershipForgotEmail"">Forgot Email</a>.</p>",email not working<NEWLINE>forgot email<NEWLINE>reset email<NEWLINE>lost email<NEWLINE>I don't know which email<NEWLINE>I no longer have the email address<NEWLINE>i can’t remember the email associated with my account<NEWLINE>It’s saying my email is incorrect<NEWLINE>email incorrect<NEWLINE>
1992,Social Intents,Reprompt,<p>How can I help you?</p>,ewcqwr<NEWLINE>arvww<NEWLINE>
1991,Assistance,Billing Issues,<p>I can find a Team Member to help you with that.</p>,double charged<NEWLINE>wrongfully charged<NEWLINE>billing issue<NEWLINE>wrongfully charged<NEWLINE>charged twice<NEWLINE>billing issues<NEWLINE>billing help<NEWLINE>need help with billing<NEWLINE>I was double charged<NEWLINE>charged twice<NEWLINE>charged an incorrect amount<NEWLINE>billing<NEWLINE>dispute a charge<NEWLINE>overcharged<NEWLINE>fraud<NEWLINE>money was taking out of my bank account<NEWLINE>my invoice shows<NEWLINE>I was charged<NEWLINE>was not deducted from my bill<NEWLINE>charded twice<NEWLINE>double charded<NEWLINE>I was charded<NEWLINE>I was charged for an order I never picked up<NEWLINE>
1990,General,Membership Perks,"<p>Becoming a BJ's Member means you get access to exclusive deals and opportunities to save. For more information, see our <a href=""https://www.bjs.com/oneDayPass."">Membership</a> page.</p><NEWLINE><NEWLINE><p>Want to try it out before joining? Here's an article about our <a href=""https://www.bjs.com/help/1-day-shopping-pass-for-bjs-com/"">One Day Passes</a>.</p>",do I need a membership<NEWLINE>bjs membership<NEWLINE>membership perks<NEWLINE>why become a member<NEWLINE>do I need to be a member?<NEWLINE>can I make a purchase without a membership<NEWLINE>membership benefits<NEWLINE>membership packages<NEWLINE>membership pricing<NEWLINE>This is my first time and I would like to know information about the costs for a membership card<NEWLINE>
1989,Assistance,BJs Tire Centre,"<p>To shop for new tires and arrange for installation, please visit <a href=""https://tires.bjs.com/"" target=""_blank"">tires.bjs.com</a>. </p><NEWLINE><NEWLINE><p>To locate your nearest BJ's tire bay, visit our <a href=""https://tires.bjs.com/stores/"" target=""_blank"">Tire Centre Locator</a>.</p>",tires<NEWLINE>tire change<NEWLINE>service appointment<NEWLINE>BJ's tire center<NEWLINE>BJ's tire centre<NEWLINE>tyres<NEWLINE>
1988,Assistance,Mailing List Removal,"<p>You can unsubscribe from our <strong>e-mail list</strong> by selecting 'Unsubscribe' at the bottom of any BJ's email, or by switching promotional emails ""off"" in your BJs.com account.</p><NEWLINE><NEWLINE><p>To be removed from our <strong>postal mailing list</strong>, please call us at <a href=""tel:+1 800-257-2582"">+1 800-BJS-CLUB (257-2582)</a> or use Member Care's online Contact Us form. (hyperlink)</p><NEWLINE><NEWLINE><p>For more detailed instructions, please see <a href=""https://www.bjs.com/help/how-do-i-remove-myself-from-your-email-offer-list-/"">this article</a>.</p>",remove my name from the mailing list<NEWLINE>stop sending me mail<NEWLINE>removal from mailing list<NEWLINE>mailing list removal<NEWLINE>Can you please remove me from receiving the mailed catalogs?<NEWLINE>take me off your mailing list<NEWLINE>suppress mailings to my home?<NEWLINE>
1987,Availability,Product Information,"<p>For info on specific product specifications, price, warranty, availability and reviews, follow these steps:</p><NEWLINE><NEWLINE><p>1. Use the search bar at the top of <a href=""https://www.bjs.com/"">BJs.com</a> to search for a product or browse the categories below<br /><NEWLINE>2.  Select a product of interest<br /><NEWLINE>3.  Scroll through the product page for information</p><NEWLINE><NEWLINE><p>If your product is available in club, you'll be presented with the option for in-club pickup. Otherwise the product may be available only on <a href=""https://www.bjs.com/"">BJs.com</a>.</p>",question about a product<NEWLINE>in stock<NEWLINE>measurements<NEWLINE>specific product<NEWLINE>find a product<NEWLINE>do you carry<NEWLINE>I am looking for a bulk item<NEWLINE>I am looking for an item<NEWLINE>Will you be restocking<NEWLINE>Wellsley Farm Milk Chocolate Coin Box<NEWLINE>Vital collagen<NEWLINE>tell me if a certain beer is in stock<NEWLINE>restock the black masks<NEWLINE>jasmine rice<NEWLINE>Pampers easy up<NEWLINE>Wellesley farms goat cheese bites<NEWLINE>Product availability<NEWLINE>check availability<NEWLINE>I want to know the availability and price of <NEWLINE>Proform Performance Treadmill<NEWLINE>I have a question about the dimension size for<NEWLINE>Similac pro advance<NEWLINE>Breathe Right Clear Nasal Strips<NEWLINE>Can you tell me the diameter of the<NEWLINE>
1986,Tracking & Status,Order Status,"<p>You can check the status of your order by logging into BJs.com and heading to the 'Order History' page. For detailed instructions, please see <a href=""https://www.bjs.com/help/how-can-i-check-the-status-of-my-bjs-com-order-/"">this article</a>.</p>",track my order<NEWLINE>where is my order<NEWLINE>when will my order arrive<NEWLINE>delivery date<NEWLINE>delivery status<NEWLINE>tracking<NEWLINE>Has it been delivered?<NEWLINE>Where is my package<NEWLINE>I have not received a shipment<NEWLINE>I haven’t received my shipment<NEWLINE>Is my order ready<NEWLINE>I am trying to track an order<NEWLINE>order status<NEWLINE>where is my delivery<NEWLINE>is my pick up ready?<NEWLINE> I just placed an order and I was wondering if you could give me a estimate on when it will be delivered<NEWLINE>
1985,Social Intents,File a Complaint,<p>Let me find a team member who can help you with that.</p>,file a complaint<NEWLINE>complaint<NEWLINE>complain<NEWLINE>I have a complaint<NEWLINE>I'd like to file a complaint<NEWLINE>I'm contacting you to file a complaint<NEWLINE>I would like to make a compliant<NEWLINE>compliant about my visit<NEWLINE>False advertising<NEWLINE>
1984,Disambiguations,Membership Options,"<p>How can I help you with membership?</p><NEWLINE><NEWLINE><p> </p><NEWLINE><NEWLINE><p><a _cke_saved_href=""?requestType=NormalRequest&id=1953&source=5&question=Renew my membership"" href=""?requestType=NormalRequest&id=1953&source=5&question=Renew my membership"">Renew Membership</a></p><NEWLINE><NEWLINE><p> </p><NEWLINE><NEWLINE><p><a _cke_saved_href=""?requestType=NormalRequest&id=1952&source=5&question=Update my membership number"" href=""?requestType=NormalRequest&id=1952&source=5&question=Update my membership number"">Update Membership Number</a></p><NEWLINE><NEWLINE><p> </p><NEWLINE><NEWLINE><p><a _cke_saved_href=""?requestType=NormalRequest&id=1973&source=5&question=Membership Expiration"" href=""?requestType=NormalRequest&id=1973&source=5&question=Membership Expiration"">Membership Expiration</a></p><NEWLINE><NEWLINE><p> </p><NEWLINE><NEWLINE><p><a _cke_saved_href=""?requestType=NormalRequest&id=1966&source=5&question=Household Member"" href=""?requestType=NormalRequest&id=1966&source=5&question=Household Member"">Household Members</a></p><NEWLINE><NEWLINE><p> </p><NEWLINE><NEWLINE><p><a _cke_saved_href=""?requestType=NormalRequest&id=1929&source=5&question=BJ's Easy Renewal"" href=""?requestType=NormalRequest&id=1929&source=5&question=BJ's Easy Renewal"">EZ Renewal</a></p><NEWLINE><NEWLINE><p> </p><NEWLINE><NEWLINE><p><a _cke_saved_href=""?requestType=NormalRequest&id=1943&source=5&question=Awards balance"" href=""?requestType=NormalRequest&id=1943&source=5&question=Awards balance"">Awards Balance</a></p><NEWLINE><NEWLINE><p> </p><NEWLINE><NEWLINE><p><a _cke_saved_href=""?requestType=NormalRequest&id=1960&source=5&question=Cancel my membership"" href=""?requestType=NormalRequest&id=1960&source=5&question=Cancel my membership"">Cancel Membership</a></p>",membership<NEWLINE>membership question<NEWLINE>question about membership<NEWLINE>membership help<NEWLINE>help with membership<NEWLINE>help with my membership<NEWLINE>membership options<NEWLINE>membership assistance<NEWLINE>I have membership questions<NEWLINE>
1982,Change,Update my notification preferences,"<p>You may change your BJ's app notification preferences like any other app from your phone's settings. If you are unsure of how to do this, follow your phone manufacturer/operating system's online instructions to learn how.</p>",How do I update my notification preferences?  <NEWLINE>Update my notification preferences<NEWLINE>I don't know how to update notification preferences<NEWLINE>How do I update my phone's notification preferences?<NEWLINE>How do I change the notifications setting for the mobile app?<NEWLINE>I want to change the notification settings for my cell but I don't know how to do that<NEWLINE>NOTIFICATION PREFERENCES<NEWLINE>app settings<NEWLINE>notification preferences<NEWLINE>
1981,Social Intents,Hello,"<p>Hi, how can I help?</p>","hey<NEWLINE>good morning<NEWLINE>good afternoon<NEWLINE>how are you<NEWLINE>good day<NEWLINE>goodmorning<NEWLINE>good evening<NEWLINE>helllo<NEWLINE>heloo<NEWLINE>hi<NEWLINE>hello<NEWLINE>gm<NEWLINE>hello there<NEWLINE>hello?<NEWLINE>hello,<NEWLINE>morning<NEWLINE>are you there<NEWLINE>hi'<NEWLINE>hi:<NEWLINE>hola<NEWLINE>halo<NEWLINE>"
1980,Social Intents,Sentiment Negative,"<p>I'm sorry I wasn't able to help. Let me find you someone who can.</p><NEWLINE><NEWLINE><p> </p><NEWLINE><NEWLINE><p><a _cke_saved_href=""?requestType=NormalRequest&id=1965&source=5&question=Speak to a Team Member"" href=""?requestType=NormalRequest&id=1965&source=5&question=Speak to a Team Member"">Find me a Team Member</a></p>","this is useless<NEWLINE>fuck<NEWLINE>I hate this<NEWLINE>this is frustrating<NEWLINE>fuck<NEWLINE>that was not helpful<NEWLINE>that didn't help<NEWLINE>no, that was unhelpful<NEWLINE>Not helpful<NEWLINE>unhelpful<NEWLINE>did not help<NEWLINE>That does not answer my question<NEWLINE>this is not what I asked<NEWLINE>"
1979,Social Intents,Social Gratitude,<p>I'm glad I was able to help!</p>,thanks<NEWLINE>thank you<NEWLINE>
1978,Feedback,Rate my Response,"<div class=""listPicker""><NEWLINE><div is=""list""><label data-subtitle=""Rate my answer"" data-title=""Rate my answer"">Rate my answer:</label><NEWLINE><p><button name=""eventname"" value=""Feedback_Yes"">Thanks, that helped!</button></p><NEWLINE><NEWLINE><p><button name=""eventname"" value=""Feedback_No"">That didn't help.</button></p><NEWLINE></div><NEWLINE></div>",vtqawtv<NEWLINE>w4tvqer<NEWLINE>
1977,General,Mobile Add to Card,"<p>This handy feature has a lot of benefits that'll help ease your BJ's Wholesale Club Shopping Experience. <br /><NEWLINE>You can use digital coupons by signing into the Mobile App and clicking on the 'Coupons' tab at the bottom of the screen. Here you can click offers you would like loaded to your membership card under the 'Available' tab at the top of the screen. These offers will be available to you to use within the Club. You can view offers you have already clipped by clicking on  'Clipped' at the top of the screen. To view your redeemed coupons, click on  'Redeemed' at the top of the screen. These are offers that you have clipped and used in-Club.</p><NEWLINE><NEWLINE><p>Please Note: Only BJ's Members will be able to use the app; please visit BJs.com or your local club to sign up for a membership.</p>","What is the ""Mobile Add to Card"" and how do I use it?<NEWLINE>I want to know about the ""Mobile Add to Card""<NEWLINE>How can I use the Mobile Add to Card on the app?<NEWLINE>I want to use the Mobile Add to Card on the app but I'm not sure where it is<NEWLINE>mobile add to card<NEWLINE>Mobile add-to-card<NEWLINE>"
1976,General,How to use the digital coupons,"<p>This handy feature has a lot of benefits that'll help ease your BJ's Wholesale Club Shopping Experience. </p><NEWLINE><NEWLINE><p>Sign in into the Mobile App and click on the '<strong>Coupons</strong>' tab at the bottom of the screen. Here you can click offers you would like loaded to your membership card under the '<strong>Available</strong>' tab at the top of the screen. These offers will be available to you to use within the Club. You can view offers you have already clipped by clicking on '<strong>Clipped</strong>' at the top of the screen. To view your redeemed coupons, click on '<strong>Redeemed</strong>' at the top of the screen. These are offers that you have clipped and used in-Club.Please</p><NEWLINE><NEWLINE><p>Note: Only BJ's Members will be able to use the app; please visit BJs.com or your local club to sign up for a membership.</p>","How to use the digital coupons<NEWLINE>How Do I use the ""Mobile Add to Card""?<NEWLINE>What is the ""Mobile Add to Card"" and how do I use it?<NEWLINE>i  want to know about the ""Mobile Add to Card""<NEWLINE>How can I use the Mobile Add to Card on the app?<NEWLINE>I want to use the Mobile Add to Card on the app but I'm not sure where it is<NEWLINE>digital coupons<NEWLINE>app digital coupons<NEWLINE>"
1975,Location,Find a BJ's gas station,"<p>After signing into the App, you can select a home gas station - this will make your life a lot easier! </p><NEWLINE><NEWLINE><ol><NEWLINE><TAB><li>On the Home Screen, select the gas icon at the top of your screen underneath the message ""Hi, [Your Name]"".             </li><NEWLINE><TAB><li>Enter your city, state or your zip code to find your local gas stations                </li><NEWLINE><TAB><li>Select your local gas station to see gas prices You can toggle between Regular and Premium gas prices                            </li><NEWLINE><TAB><li>This gas price, at your selected station, will show on your home page each time you use the app. This is updated every 15 minutes.</li><NEWLINE></ol>",Find a BJ's gas station<NEWLINE>How do I choose a Gas Station?<NEWLINE>How do I choose a Gas Station on the app?<NEWLINE>I don't know how to select a BJ's Gas Station on the app<NEWLINE> How do I locate a gas station?<NEWLINE>I want to look for a gas station near me<NEWLINE>gas station near me<NEWLINE>closest gas station<NEWLINE>How do I select a BJ's Gas Station?<NEWLINE><TAB> How do I choose a Gas Station?<NEWLINE>How do I choose a Gas Station on the app?<NEWLINE><TAB>  How do I locate a gas station?<NEWLINE>I want to look for a gas station near me<NEWLINE>How do I select a BJ's Gas Station?<NEWLINE>
1973,Expiration,Membership Expiration,"<p>To view your current expiration date of your membership:</p><NEWLINE><NEWLINE><ol><NEWLINE><TAB><li><span style=""font-family:Arial,Helvetica,sans-serif;"">Log in to your online account on Bjs.com,                                                       </span></li><NEWLINE><TAB><li><span style=""font-family:Arial,Helvetica,sans-serif;"">In the top right hand corner, hover over [Your Name], and select <strong>Account Information</strong>,                                              </span></li><NEWLINE><TAB><li><span style=""font-family:Arial,Helvetica,sans-serif;"">You will find your membership expiration under <strong>Membership Information</strong>.</span></li><NEWLINE></ol><NEWLINE><NEWLINE><p><span style=""font-family:Arial,Helvetica,sans-serif;"">You can also find your date of expiration listed on your next BJ's receipt.</span></p>","When does my renewed membership expire?<NEWLINE>When will my membership expire?<NEWLINE>When does my membership expire<NEWLINE>When will my recently renewed membership expire<NEWLINE>I just renewed my membership, can I know when it expires<NEWLINE>I've renewed my membership already, I just want to know when it expires<NEWLINE>Can I find out when my renewed membership expires?<NEWLINE>membership expiration date<NEWLINE>What is the expiry date for my recently renewed membership?<NEWLINE>When will my membership expiring?<NEWLINE>Can I know my membership expiration date<NEWLINE>What's my membership expiration date?<NEWLINE>When is the expiration date for my membership?<NEWLINE>membership expiry<NEWLINE>member expiry date<NEWLINE>membership expiration date<NEWLINE>expiration date membership<NEWLINE>When exactly does my membership expire?<NEWLINE>What is the expiration date for my membership?<NEWLINE>What is my membership's expiration date?<NEWLINE>membership expiration<NEWLINE>can you tell me my expiration<NEWLINE>"
1971,General,Find a BJ's gas station,"<p>After signing into the App, you can select a home gas station - this will make your life a lot easier! </p><NEWLINE><NEWLINE><ol><NEWLINE><TAB><li>On the Home Screen, select the gas icon at the top of your screen underneath the message ""Hi, [Your Name]"".</li><NEWLINE><TAB><li>Enter your city, state or your zip code to find your local gas stations</li><NEWLINE><TAB><li>Select your local gas station to see gas prices. You can toggle between Regular and Premium gas prices.</li><NEWLINE><TAB><li>This gas price, at your selected station, will show on your home page each time you use the app. This is updated every 15 minutes.</li><NEWLINE></ol>",How do I choose a Gas Station?<NEWLINE>How do I choose a Gas Station on the app?<NEWLINE>I don't know how to select a BJ's Gas Station on the app<NEWLINE> How do I locate a gas station?<NEWLINE>I want to look for a gas station near me<NEWLINE>How do I select a BJ's Gas Station?<NEWLINE>
